experiment_id,system,backbone,seed,config,dataset,status,validation_metric,internal_test_macro_f1,external_hiba_macro_f1,checkpoint_sha256,metrics_path,predictions_path,notes
extension_stage03_clean_ce,Standalone-Stage3,efficientnet_b0,42,configs/extensions/stage03/emb_cross_entropy_superseded.yaml,isic_stage03,SUPERSEDED,0.3656146546,0.1628376791,NA,NA,results/extensions/stage03/evaluations/stage03_isic_derived_internal_test_seed42__best_epoch02/internal_test_metrics.json,results/extensions/stage03/evaluations/stage03_isic_derived_internal_test_seed42__best_epoch02/internal_test_predictions.csv,Historical feasibility baseline retained as extension evidence
extension_stage03_weighted_ce,Standalone-Stage3,efficientnet_b0,42,configs/extensions/stage03/weighted_cross_entropy.yaml,isic_stage03,COMPLETED_LOCKED,0.4365731116,0.2756106657,NA,NA,results/extensions/stage03/evaluations/stage03_isic_derived_wce_internal_test_seed42__best_epoch12/internal_test_metrics.json,results/extensions/stage03/evaluations/stage03_isic_derived_wce_internal_test_seed42__best_epoch12/internal_test_predictions.csv,Standalone feasibility result; not part of the paper baseline
